Feature,Importance
num__TechSupport,2.0552857498240744
num__internet_no_tech_support,1.8999653597007267
num__MonthlyCharges,0.8660061160331834
num__tenure,0.8413377840112217
num__Contract,0.8363901188768247
num__CLV,0.7023731031489555
num__services_count,0.6017465065211565
num__OnlineSecurity,0.4914144730623213
num__PhoneService,0.45725718214102395
num__ExpectedTenure,0.43333405437303835
num__OnlineBackup,0.37589763427525874
num__Dependents,0.3492814966273794
num__TotalCharges,0.3419468850502082
num__DeviceProtection,0.28290348780330593
num__StreamingTV,0.20904801817378407
num__gender,0.18976557287258622
num__Partner,0.1825415569540449
num__MultipleLines,0.17326693172883792
num__StreamingMovies,0.16593489991984234
num__tenure_bucket,0.15083100584443784
num__SeniorCitizen,0.14577972479410983
num__PaymentMethod,0.08322382078284922
num__PaperlessBilling,0.03505544029331682
num__InternetService,0.030400337156898053
num__monthly_to_total_ratio,0.007557907391660651
